,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
485,Top Company,Ranking,2.0,Westpac,181433,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
486,Top Company,Ranking,3.0,Canva,166374,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
500,Top Company,Ranking,1.0,Melbourne,106499,Accountant,All,Australia,https://www.levels.fyi/en-gb/t/accountant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
501,Top Company,Ranking,2.0,Sydney,104512,Accountant,All,Australia,https://www.levels.fyi/en-gb/t/accountant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
502,Top Company,Ranking,3.0,Adelaide,64378,Accountant,All,Australia,https://www.levels.fyi/en-gb/t/accountant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
507,Top Company,Ranking,1.0,Melbourne,106499,Accountant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
508,Top Company,Ranking,2.0,Sydney,104512,Accountant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
509,Top Company,Ranking,3.0,Adelaide,64378,Accountant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
514,Top Company,Ranking,1.0,Melbourne,106499,Accountant,Senior,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
515,Top Company,Ranking,2.0,Sydney,104512,Accountant,Senior,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
516,Top Company,Ranking,3.0,Adelaide,64378,Accountant,Senior,Australia,https://www.levels.fyi/en-gb/t/accountant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
521,Top Company,Ranking,1.0,Melbourne,115848,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
522,Top Company,Ranking,2.0,Brisbane,109038,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
523,Top Company,Ranking,3.0,Sydney,104911,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
528,Top Company,Ranking,1.0,Melbourne,115848,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
529,Top Company,Ranking,2.0,Brisbane,109038,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
530,Top Company,Ranking,3.0,Sydney,104911,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
